2025-07-05 02:06:29 INFO  [background-preinit] o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.2.Final
2025-07-05 02:06:30 INFO  [main] c.t.TimelyMailerApplication - Starting TimelyMailerApplication v0.0.1-SNAPSHOT using Java 17.0.15 with PID 1 (/app/app.jar started by root in /app)
2025-07-05 02:06:30 INFO  [main] c.t.TimelyMailerApplication - No active profile set, falling back to 1 default profile: "default"
2025-07-05 02:06:32 INFO  [main] o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2025-07-05 02:06:32 INFO  [main] o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 133 ms. Found 1 JPA repository interface.
2025-07-05 02:06:33 INFO  [main] o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2025-07-05 02:06:33 INFO  [main] o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2025-07-05 02:06:33 INFO  [main] o.a.catalina.core.StandardService - Starting service [Tomcat]
2025-07-05 02:06:33 INFO  [main] o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.41]
2025-07-05 02:06:33 INFO  [main] o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-07-05 02:06:33 INFO  [main] o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 3621 ms
2025-07-05 02:06:34 INFO  [main] o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2025-07-05 02:06:34 INFO  [main] org.hibernate.Version - HHH000412: Hibernate ORM core version 6.6.15.Final
2025-07-05 02:06:34 INFO  [main] o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2025-07-05 02:06:35 INFO  [main] o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2025-07-05 02:06:35 INFO  [main] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2025-07-05 02:06:36 INFO  [main] com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@3dc46f24
2025-07-05 02:06:36 INFO  [main] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2025-07-05 02:06:36 INFO  [main] o.hibernate.orm.connections.pooling - HHH10001005: Database info:
	Database JDBC URL [Connecting through datasource 'HikariDataSource (HikariPool-1)']
	Database driver: undefined/unknown
	Database version: 16.9
	Autocommit mode: undefined/unknown
	Isolation level: undefined/unknown
	Minimum pool size: undefined/unknown
	Maximum pool size: undefined/unknown
2025-07-05 02:06:38 INFO  [main] o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2025-07-05 02:06:38 INFO  [main] o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2025-07-05 02:06:39 WARN  [main] o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2025-07-05 02:06:40 INFO  [main] o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2025-07-05 02:06:40 INFO  [main] o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
2025-07-05 02:06:40 INFO  [main] c.t.TimelyMailerApplication - Started TimelyMailerApplication in 12.397 seconds (process running for 19.172)
2025-07-05 02:06:40 INFO  [scheduling-1] c.t.s.ScheduledEmailDispatcher - ⏰ Scheduled Task Triggered: Checking for due emails to send...
2025-07-05 02:06:40 INFO  [scheduling-1] c.t.s.ScheduledEmailServiceImpl - Returning all the pending scheduled mail
2025-07-05 02:06:40 INFO  [scheduling-1] c.t.s.ScheduledEmailDispatcher - 📬 Total emails fetched for dispatch: 1
2025-07-05 02:06:40 INFO  [scheduling-1] c.t.s.ScheduledEmailDispatcher - 🔄 Processing email ID: de287357-0af2-4d2c-8b53-41e62bd17211, Subject: Backend Developer Position - Application, ScheduledTime: 2025-07-05T01:45
